Blockchain and Distributed Ledger Technology	ブロックチェーンと分散台帳テクノロジー
One is related to the number of hops required for two nodes to communicate; the other is related to the workload imposed on a server.	1つは、2つのノードが通信するのに必要なホップ数に関係しています。もう1つは、サーバーにかかるワークロードに関連しています。
It is important to note that sometimes redundancy affects performance negatively.	冗長性がパフォーマンスに悪影響を及ぼす場合があることに注意することが重要です。
We may have too many nodes that are involved in sending a message from A to B, whereas when we have the direct connectivity from each node to a centralized server, the communication is more "direct".	AからBへのメッセージ送信に関係するノードが多すぎる可能性がありますが、各ノードから中央集権型サーバーへの直接接続がある場合、通信はより「直接的」になります。
However, when we need to worry about workloads, having more than one single server can scale better, as we can introduce more machines/servers that can improve the throughput of the system (especially when a task can be parallelized).	ただし、ワークロードを心配しなければならない場合は、システムのスループットを向上させることができるマシン/サーバーを増やすことができるため（特にタスクを並列化できる場合）、複数のサーバーを配置することで拡張性が向上します。
So, in a distributed and decentralized network, while more machines/nodes are involved, in many cases these are much more scalable systems, can support more nodes and there is less risk of "bringing the whole network down" by flooding one single server with tasks until it is brought down to a halt.	したがって、分散型および非中央集権型ネットワークでは、より多くのマシン/ノードが関与しますが、多くの場合、これらはより拡張性のあるシステムで、より多くのノードをサポートでき、単一サーバーが停止になるまで大量のタスクを流して「ネットワーク全体をダウン」させるリスクが少なくなります。
Fault Tolerance/Points of Failure	耐障害性/障害点
Centralized systems pose a much higher risk when anything goes wrong on the sever-side - as it may bring the whole network/service down, when all is centered around it.	中央集権型システムでは、サーバー側で何か問題が発生すると、ネットワークやサービス全体がダウンする可能性があるためはるかに高いリスクが発生します。
So, while having one server makes it a lot easier to maintain and remain consistent (on the server-side), there is no redundancy.	そのため、1つのサーバーを持つことで（サーバー側で）保守と一貫性を維持することがはるかに容易になりますが、冗長性はありません。
Decentralized and distributed systems are much more preferable when redundancy is needed, which is also how the internet was designed.	冗長性が必要な場合は非中央集権型システムや分散型システムの方がはるかに適しています。インターネットもこのように設計されています。
When somebody is sending an email, the email traverses through peer nodes that are spread across the globe.	誰かがEメールを送信しているとき、Eメールは世界中に広がっているpeerノードを通過します。
So, if a few computers are "shut down", there is enough redundancy and other nodes will relay the email message forward.	そのため、数台のコンピューターが「シャットダウン」されても、十分な冗長性があり、他のノードが電子メールメッセージを中継して送ることになります。
Determinism and Predictability	決定論と予測可能性
While this item is highly related to the versioning and consistency aspects that we just covered, this is such an important aspect that it merits its own section.	この項目は、今説明したバージョン管理と一貫性の面と高い関連性がありますが、これは非常に重要な観点なので独立したセクションを設けます。
Other than software upgrades and version updates, distributed and decentralized systems are unusually vulnerable to non-determinism.	ソフトウェアのアップグレードとバージョンの更新を除けば、分散型システムと非中央集権型システムは非決定論に対して異常に脆弱です。
On the physical side, different nodes/machines in the system have different hardware, performance and locks.	物理的には、システム内のノードやマシンによってハードウェア、パフォーマンス、およびロックが異なります。
In addition, such nodes and their owners/operators may also have different incentives.	さらに、そのようなノードおよびそれらの所有者/運営者もまた異なるインセンティブを有する可能性があります。
Unlike with centralized system, when one can own the machine, make sure it operates well, is performant and well-maintained, one does not usually have the same level of control over all the nodes in a distributed and decentralized system.	中央集権型システムとは異なり、マシンを所有することができる場合、そのマシンが正常に動作し、高性能でよく維持されていることを確認してください。通常、分散型および非中央集権型システムのすべてのノードは制御できません。
Therefore, one cannot "blindly" rely on nodes relaying data on time, that transmissions are not being blocked or that data is not tampered with.	したがって、ノードがデータを時間通りに中継すること、送信がブロックされていないこと、またはデータが改ざんされていないことを信用することはできません。
Enter Blockchain and Distributed Ledgers	ブロックチェーンと分散台帳の入力
A blockchain is a continuously growing list of records, which are ordered and combined/grouped into blocks.	ブロックチェーンは、継続的に増え続けるレコードリストで、順番に並べられ、ブロックにまとめられ/グループ化されます。
Such blocks are linked (or "chained") using cryptography.	このようなブロックは、暗号技術を使用してリンク（または「連鎖」）しています。
The first block in a blockchain is called the genesis block, and each following block is appended after the last block in the chain.	ブロックチェーンの最初のブロックはgenesis block（ジェネシスブロック）と呼ばれ、後続の各ブロックはチェーンの最後のブロックの後に追加されます。
Each block typically contains a cryptographic hash of the previous block.	各ブロックは通常、前のブロックの暗号学的ハッシュを含みます。
Since each new block contains a hash of the previous block, a blockchain is inherently resistant to modification of historical data.	それぞれの新しいブロックは前のブロックのハッシュを含んでいるため、ブロックチェーンは履歴データの修正に対して本質的に耐性があります。
In typical blockchain implementations, the records that are grouped into a block are referred to as transactions that take place between parties and are added to the about-to-be-written block after they have been verified.	一般的なブロックチェーンの実装では、ブロックにグループ化されたレコードは、当事者間で行われるトランザクションと呼ばれ、検証後に書き込まれるブロックに追加されます。
For use as a distributed ledger, a blockchain is typically managed by a peer-to-peer network collectively adhering to a protocol for validating new blocks.	分散台帳として使用するために、ブロックチェーンは通常、新しいブロックの検証用プロトコルに準拠するP2Pネットワークによって管理されます。
Once recorded, the data in any given block cannot be altered retroactively without the alteration of all subsequent blocks, which requires collusion of the network majority.	いったん記録されると、任意のブロック内のデータは、その後のすべてのブロックを変更することなしに遡及的に変更することはできず、これはネットワーク大多数で一緒に行わなければなりません。
Permissioned vs Permissionless Blockchains	パーミッションド ブロックチェーンとパーミッションレス ブロックチェーン
Why Enterprises Are Choosing Permissioned Blockchains?	企業がパーミッションド ブロックチェーンを選択する理由
Summary	まとめ
In this chapter, you have been introduced to the fundamentals of distributed systems and distributed ledger technologies.	この章では、分散型システムと分散台帳技術の基礎について説明してきました。
We also provided a quick overview of key blockchain features that are needed in order to build reliable decentralized systems.	また、信頼性の高い非中央集権型システムを構築するために必要となるおもなブロックチェーン機能の概要についても説明しました。
You should now have an understanding of the differences between centralized networks and distributed networks.	これで中央集権型ネットワークと分散型ネットワークの違いを理解できたはずです。
You should also understand why enterprises want to move towards distributed ledgers. We hope that, in addition to having the motivation for utilizing such a transformative technology, you also understand that such decentralized systems tend to be a bit more complicated and delicate, and must be carefully designed, developed and thoroughly tested.	これで中央集権型ネットワークと分散型ネットワークの違いを理解できたはずです。 このような変革的な技術を利用する意欲をもつことに加え、このような分散型システムが多少複雑で繊細であり、設計、開発を慎重に行い、徹底的にテストされなければならないことを理解してもらいたいと考えています。
On the bright side, Hyperledger Fabric was designed and built to address many of the challenges listed in this chapter.	その点、Hyperledger Fabricが、この章に記載されている多くの課題に対処するように設計、構築されていることは良いことでしょう。
Next, we will dive into Hyperledger Fabric and the tools it provides you, as a developer or as a systems designer, for addressing the challenges and enterprise requirements.	次に、Hyperledger Fabricと、開発者またはシステム設計者として問題や企業が求める要件に対処するためのHyperledger Fabricが提供するツールについて詳しく見ていきましょう。
Discuss about Hyperledger and its various frameworks and modules.	Hyperledgerとそのさまざまなフレームワークやモジュールについて論じる。
Understand Hyperledger's Fabric modular architecture, its various components and roles.	Hyperledger Fabricのモジュラー アーキテクチャ、そのさまざまなコンポーネントや役割について理解する。
Understand the key components of a Hyperledger Fabric network.	Hyperledger Fabricネットワークの重要なコンポーネントについて理解する。
Hyperledger Burrow	Hyperledger Burrow
It is a permissionable smart contract machine.	許可可能な (permissionable) スマートコントラクト マシンです。
The first of its kind when released in December of 2014, Hyperledger Burrow provides a modular blockchain client with a permissioned smart contract interpreter built in part to the specification of the Ethereum Virtual Machine (EVM).	2014年12月にリリースされた最初の製品であるHyperledger Burrowは、Ethereum Virtual Machine（EVM）の仕様の一部としてパーミッションド スマートコントラクト インタープリタを内蔵したモジュラー ブロックチェーン クライアントを提供しています。
Hyperledger Fabric	Hyperledger Fabric
It is intended to serve as a foundation for developing applications or solutions with a modular architecture, whereas several key components of Hyperledger Fabric are plug-and-play.	モジュラー アーキテクチャを使用してアプリケーションまたはソリューションを開発するための基盤として機能することを目的としています。一方、Hyperledger Fabricのいくつかの重要なコンポーネントはプラグアンドプレイになっています。
Hyperledger Fabric reached the 1.0 milestone on July 11, 2017.	Hyperledger Fabricは、2017年7月11日に1.0をリリースしました。
Hyperledger Indy	Hyperledger Indy
It contains tools, libraries, and reusable components for providing digital identities rooted on blockchains or other distributed ledgers so that they are interoperable across administrative domains, applications, and any other silos.	ブロックチェーンやその他の分散台帳に基づくデジタルIDを提供するツール、ライブラリ、および再利用可能なコンポーネントを含んでいます。これによって、管理ドメイン、アプリケーション、その他のサイロ間で相互運用が可能になります。
Hyperledger Iroha	Hyperledger Iroha
It is a business blockchain framework designed to be simple and easy to incorporate into infrastructural projects requiring distributed ledger technology.	分散台帳技術を必要とするインフラストラクチャ プロジェクトに簡単に組み込めるように設計されたビジネスブロックチェーン フレームワークです。
Hyperledger Sawtooth	Hyperledger Sawtooth
It is a modular platform for building, deploying, and running distributed ledgers.	分散台帳を構築、デプロイ、および実行するためのモジュラー プラットフォームです。
Hyperledger Sawtooth includes a novel consensus algorithm, Proof of Elapsed Time (PoET), which targets large distributed validator populations with minimal resource consumption.	Hyperledger Sawtoothには、新しいコンセンサス アルゴリズムであるProof of Elapsed Time（PoET）が含まれており、最小のリソースを消費する大規模な分散Validator母集団を対象とします。
Hyperledger Sawtooth reached the 1.0 milestone on January 30, 2018.	Hyperledger Sawtoothは、2018年1月30日に1.0をリリースしました。
Hyperledger offers also the following five tools:	Hyperledgerには、次の5つのツールもあります。
Hyperledger Caliper	Hyperledger Caliper
It is a blockchain benchmark tool, which allows users to measure the performance of a specific blockchain implementation with a set of predefined use cases.	ブロックチェーン ベンチマーク ツールであり、ユーザーは一連の定義済みのユースケースを使用して特定のブロックチェーン実装のパフォーマンスを測定できます。
Hyperledger Cello	Hyperledger Cello
It aims to bring the on-demand “as-a-service” deployment model to the blockchain ecosystem to reduce the effort required for creating, managing and terminating blockchains.	オンデマンドの“as-a-services” デプロイ モデルをブロックチェーン エコシステムに取り入れて、ブロックチェーンの作成、管理、および終了に必要な作業を削減することを目的としています。
Hyperledger Composer	Hyperledger Composer
It is a collaboration tool for building blockchain business networks, accelerating the development of smart contracts and their deployment across a distributed ledger.	ブロックチェーンのビジネス ネットワークを構築し、スマートコントラクトの開発と分散台帳へのデプロイを促進するためのコラボレーション ツールです。
Hyperledger Explorer	Hyperledger Explorer
It can view, invoke, deploy or query blocks, transactions and associated data, network information, chain codes and transaction families, as well as any other relevant information stored in the ledger.	ブロック、トランザクションおよび関連データ、ネットワーク情報、チェーンコード、トランザクション ファミリー、および台帳に格納されているその他の関連情報を表示、起動、デプロイ、またはクエリできます。
Hyperledger Quilt	Hyperledger Quilt
It offers interoperability between ledger systems by implementing ILP, which is primarily a payments protocol and is designed to transfer value across distributed ledgers and non-distributed ledgers.	ILPを実装することで台帳システム間の相互運用性を実現します。ILPはおもに決済プロトコルであり、分散台帳と非分散台帳の間で値を転送するように設計されています。
Most distributed ledger technologies (DLTs) work with a peer-to-peer network of nodes, where a ledger is distributed such that each node has an identical copy of the ledger.	ほとんどの分散台帳技術（DLT）はノードのpeer-to-peer（P2P）ネットワークを使用し、各ノードに台帳の複製を置き、台帳を分散させます。
Architecture	アーキテクチャ
Most distributed ledger technologies (DLTs) work with a peer-to-peer network of nodes, where a ledger is distributed such that each node has an identical copy of the ledger.	ほとんどの分散台帳技術（DLT）はノードのpeer-to-peer（P2P）ネットワークを使用し、各ノードに台帳の複製を置き、台帳を分散させます。
We can think of the ledger as an append-only system of records or log of transactions.	台帳は、トランザクションのログを記録する、アペンド（追加）に特化したシステムのようなものです。
A distributed ledger is a multi-party database with no central trusted authority.	分散台帳は、集中管理者が存在しない、みんなで共有するデータベースです。
The differentiating nuance is that when transactions are processed in blocks according to the ordering of a blockchain, the result is a distributed ledger.	言い換えると、ブロックチェーンの順序に沿ってトランザクションをブロックで処理した結果、分散台帳が作成されます。
Such transactions are ordered and grouped into blocks (hence the term blockchain ).	トランザクションは順序付けされ、ブロックにグループ化されます（それが「ブロックチェーン」と呼ばれる所以です）。
Now, with that very high-level description in mind, let's go over the key components in the Hyperledger Fabric Service Layers diagram on the previous page.	では、ハイレベルの解説を頭に入れた上で、いったん前のページに戻り、Hyperledger Fabric Service Layerの図を使って重要なコンポーネントを見ていきましょう。
Since we have multiple components, it was clear from the very early stages of the project that APIs (Application Programming Interfaces) and components are integrated, assembled and are interacted with through these APIs and SDKs (Software Development Kits).	コンポーネントが複数あるため、API (Application Programming Interfaces) とコンポーネントは、APIやSoftware Development Kit (SDK) を通して統合され、組み立てられ、相互作用することは、プロジェクトのかなり初期段階から明確でした。
We will learn more when we get to the Hyperledger Fabric SDK and the various APIs in use.	詳しくは、Hyperledger Fabric SDKやさまざまなAPIを使用しながら学習していきます。
Identity plays a big role in the establishment of a root of trust during the setup of a blockchain instance, the enrollment and registration of identities or system entities during network operation, and the management of changes like drops, adds, and revocations.	ID管理（Identity）は、ブロックチェーンのインスタンスを作成する時の信頼の起点 (Root of Trust) の作成、ネットワークオペレーションにおけるIDやシステム エンティティのEnrollmentとRegistration（記載や登録）、ドロップ/追加/取り消しなどの変更管理において、重要な役割を果たします。
Membership Services, under Identity, also include authentication and authorization (think about a member of a group, or a role).	ID管理配下のメンバーシップ サービスには、認証 (Authentication) および認可 (Authorization) が含まれます（グループのメンバーやロールの管理）。
The Ledger is the sequenced record of all state transitions in a network.	台帳（Ledger）は、ネットワーク上で行われるすべてのステート遷移について一連の記録をとったものです。
It is easy to think about it as the bookkeeper's table, having keys or attributes (such as account1balance ) and their respective values (keeps a record that account1balance is currently 17).	台帳は、簿記係の台帳のように、(”account1balance”のような) キーあるいは属性および (”account1balance”が現在17であるという記録を持っているといったように) 個々の値 を持っていると考えるとわかりやすいです。
Transactions are state transitions that are stored in the ledger; they are a result of smart contract invocations ( transactions ) submitted by participating parties.	トランザクション（Transactions）は、台帳に保存された、ステート遷移を指します。 つまり、参加パーティーによりサブミットされた、実施済みのスマートコントラクト（“トランザクション “）の結果です。
Consensus is the mechanism for reaching or generating an agreement from network participants (e.g. regarding the validity of a claim or proposed transaction).	コンセンサス（Consensus）は、リクエストまたは提案されたトランザクションの有効性などについて、ネットワーク参加者の合意を得るためのメカニズムです。
This layer is using the peer-to-peer network as the underlying communication layer, the distributed ledger that is shared between the peers, as well as an ordering service which orders the transactions and groups them into blocks.	このレイヤーでは、基盤のコミュニケーション レイヤーであるP2Pネットワーク、peer間で共有されている分散台帳、およびトランザクションを順序どおりに並べてブロックにグループ化するordering serviceを使用しています。
Smart Contract Layer - other than the distributed ledger technologies (DLTs), most blockchains also have an additional layer on top, which has the ability to run and execute some agreed-upon business logic.	スマートコントラクト レイヤー（Smart Contract Layer）：分散台帳技術（DLT）以外に、多くのブロックチェーンは、一番上に追加のレイヤーが存在しています。 これは、同意済みのビジネス ロジックを実装し、実行することができます。
Such logic is built into units of code that are denoted as Smart Contracts .	これらの「ロジック」は、コードという単位にまとめられ、「スマートコントラクト」として表示されます。
Smart Contracts are a way to submit/propose scripts and programs that encapsulate some logic and have them live on the shared peer-to-peer network, in a way that peers can execute that exact same piece of logic.	スマートコントラクトは、ロジックをカプセル化するスクリプトやプログラムをサブミット/提案し、共有のP2Pネットワーク上で使えるようにする方法で、peerがまったく同じロジックを実行できるようにします。
Security and Crypto Services allow different crypto algorithms or modules to be swapped out without affecting other modules.	セキュリティ&暗号化サービス（Security and Crypto Services）は、他のモジュールに影響を与えることなく、異なる暗号化アルゴリズムやモジュールをスワップアウトできるようにします。
Hyperledger Fabric Components	Hyperledger Fabricのコンポーネント
Now that we have reviewed the architecture diagram, we will go over Hyperledger Fabric components and learn how Hyperledger Fabric follows the architecture diagram while providing a highly modular architecture where many components can be added, extended or completely replaced.	前ページでアーキテクチャ図を見直しました。 続いて、Hyperledger Fabricコンポーネントについて解説し、Hyperledger Fabricがアーキテクチャ図に従う方法を学習するとともに、多くのコンポーネントの追加、拡張、または完全に交換可能な高度なモジュラー アーキテクチャを提供します。
The most simplified view of a typical Hyperledger Fabric deployment is comprised of nodes that are connected as a peer-to-peer network, with a distributed ledger which is shared amongst the nodes.	一般的なHyperledger Fabricデプロイの最も単純化されたビューは、P2Pネットワークとして接続されているノードで構成され、ノード間で共有されている分散台帳があります。
However, the nodes in Hyperledger Fabric have different roles.	ただし、Hyperledger Fabricのノードには異なる役割があります。
First, such connected nodes in Hyperledger Fabric can be of two categories: peers and orderers:	まず、Hyperledger Fabricのネットワークに参加しているノードには、PeersとOrderersの2つのカテゴリがあります。
● Peers are nodes that maintain a local copy of the ledger.	• Peersは、台帳のローカル コピーを維持するノードです。
They can also propose a new transaction that will be shared around, and potentially be saved/applied/committed to the ledger.	周りで共有され、台帳に保存/適用/コミットされる可能性のある新しいトランザクションのproposalも可能です。
● Orderers are nodes running an ordering service .	• Orderersは、”ordering service”を実行しているノードです。
In every Hyperledger Fabric network there needs to be at least one node which is running the ordering service , but it does not have to be the only one.	すべてのHyperledger Fabricネットワークには、”ordering service”を実行しているノードが少なくとも1つ必要ですが、1つだけである必要はありません。
There may be several nodes running the ordering service, and these are denoted as the orderers .	ordering serviceを実行している複数のノードがある可能性があり、これらは”orderers”として示されます。
When a peer proposes a transaction and the transaction is committed, the orderer helps ensure that transactions are, as the name implies, ordered correctly, and such ordered transactions are being shared with the rest of the peers.	あるpeerがトランザクションを提案し、トランザクションが確定されると、ordererは（その名前が示すように）、トランザクションを確実に正しく順序付けして他のpeersと共有できるようにします。
While the roles of nodes are split between nodes that are running an ordering service versus nodes that are peers, there are two types of peers in Hyperledger Fabric:	ノードの役割は、ordering serviceを実行しているノードとpeerノードの間で分割されますが、Hyperledger Fabricには2種類のpeerがあります。
● Endorsing Peer/Endorser votes for, or endorses transactions that are proposed by the client or application layer.	• Endorsing peer/Endorserは、クライアント層またはアプリケーション層によって提案されたトランザクションに”vote (投票)”または”endorse (エンドース・承認)”します。
Hence, the name endorser .	そのため、 “endorser (エンドーサー・署名者)”と呼ばれます。
In the role of endorser, the peer does not add the transaction onto the ledger.	endorserの役割では、peerはトランザクションを台帳に追加しません。
Instead, after checking the client signature, it runs chaincode to get the read and write sets of the World State (term World State is explained later in the chapter) affected by the transaction.	代わりに、クライアントの署名をチェックした後、チェーンコードを実行して、トランザクションによって影響を受けるワールドステートのRWセットを取得します（「ワールドステート」という用語についてはこの章の後半で説明します）。
These are then sent to the orderer by the clients who collect the endorsements.	これらはその後、endorsement（エンドースメント・署名）承認を収集するクライアントによってordererに送られます。
Read and write sets are the inputs and outputs to the chaincode running on the endorser.	RWセットは、endorserで実行しているチェーンコードへの入力と出力です。
This is called simulating the transaction, as the results are not written back into the ledger.	結果が台帳には書き戻されないため、これはトランザクションのシミュレーションと呼ばれます。
