Glossary	Glossary (用語集)
Also known as orderer.	オーダリングサービスは orderer とも呼ばれ、
A defined collective of nodes that orders transactions into a block and then distributes blocks to connected peers for validation and commit.	トランザクションの順序を決めてブロックを作り、接続しているピアに検証とコミット処理のためにブロックを配布する役割を持ったノードの集合と定義されています。
The ordering service exists independent of the peer processes and orders transactions on a first-come-first-serve basis for all channels on the network.	オーダリングサービスはピアのプロセスから独立して存在し、ネットワーク上のすべてのチャネルに対してトランザクションを先着順に並べます。
It is designed to support pluggable implementations beyond the out-of-the-box Kafka and Raft varieties.	オーダリングサービスは、KafkaやRaftのような外部コンポーネントの違いを超えてプラグイン可能な実装をサポートするように設計されています。
It is a common binding for the overall network; it contains the cryptographic identity material tied to each Member_.	これは、ネットワーク全体に対して共通のバインディングです。つまり各 :ref:`メンバー<Member>` に紐付けられた暗号学的な識別情報を含んでいます。
Organization	Organization (組織)
An organization, 'ORG'	組織 'ORG'
Also known as "members", organizations are invited to join the blockchain network by a blockchain network provider.	組織は「メンバー」とも呼ばれ、ブロックチェーンネットワークプロバイダからブロックチェーンネットワークに招待されて参加します。
An organization is joined to a network by adding its Membership Service Provider (MSP_) to the network.	組織はメンバーシップサービス・プロバイダ (MSP_) をネットワークに追加することで参加します。
The MSP defines how other members of the network may verify that signatures (such as those over transactions) were generated by a valid identity, issued by that organization.	MSPは、その組織によって発行された有効なアイデンティティによって署名 (トランザクションに対する署名、など) が生成されたことを、ネットワークの他のメンバーがどのように検証するかを定義します。
The particular access rights of identities within an MSP are governed by policies which are also agreed upon when the organization is joined to the network.	MSP内のアイデンティティの特定のアクセス権は、組織がネットワークに参加したときに合意されたポリシーによって管理されます。
An organization can be as large as a multi-national corporation or as small as an individual.	組織は、多国籍企業のように大きいものでも、個人ほどの小さいものでも構いません。
The transaction endpoint of an organization is a Peer_.	組織のトランザクションのエンドポイントはピア (Peer_) です。
A collection of organizations form a Consortium_.	組織の集合はコンソーシアム (Consortium_) を形成します。
While all of the organizations on a network are members, not every organization will be part of a consortium.	ネットワーク上のすべての組織はメンバーですが、すべての組織がコンソーシアムに参加しているわけではありません。
Peer	Peer (ピア)
A peer, 'P'	ピア 'P'
A network entity that maintains a ledger and runs chaincode containers in order to perform read/write operations to the ledger.	ピアは台帳を維持するネットワークエンティティであり、台帳への読み書き操作を行うためにチェーンコードのコンテナを実行します。
Peers are owned and maintained by members.	ピアはメンバーによって所有および維持されます。
Policy	Policy (ポリシー)
Policies are expressions composed of properties of digital identities, for example: ``OR('Org1.peer', 'Org2.peer')``.	ポリシーは、デジタルアイデンティティのプロパティで構成される式です。たとえば ``OR('Org1.peer', 'Org2.peer')`` のようなものです.
They are used to restrict access to resources on a blockchain network.	これはブロックチェーンネットワーク上のリソースへのアクセスを制限するために使用されます。
For instance, they dictate who can read from or write to a channel, or who can use a specific chaincode API via an ACL_.	たとえば、チャネルに対して誰が読み込めるか・書き込めるかを指定したり、 :ref:`ACL<glossary_ACL>` を用いて誰が特定のチェーンコードAPIを利用できるかを指定したりできます。
Policies may be defined in ``configtx.yaml`` prior to bootstrapping an ordering service or creating a channel, or they can be specified when instantiating chaincode on a channel.	ポリシーはオーダリングサービスを起動する前、あるいはチャネルを作成する前に ``configtx.yaml`` 内で定義してもよいですし、あるいはチャネル上でチェーンコードをインスタンス化する際に指定することもできます。
A default set of policies ship in the sample ``configtx.yaml`` which will be appropriate for most networks.	デフォルト設定はサンプルの ``configtx.yaml`` に記述されていて、大半のネットワークではその設定が適しているでしょう。
Private Data	Private Data (プライベートデータ)
Confidential data that is stored in a private database on each authorized peer, logically separate from the channel ledger data.	プライベートデータは各ピアのプライベートデータベースに保存される機密データを意味します。プライベートデータベースは各ローカルピアにのみアクセスが許可されており、チャネルの台帳データとは論理的に分離されています。
Access to this data is restricted to one or more organizations on a channel via a private data collection definition.	プライベートデータへのアクセスは、プライベートデータコレクションの定義に基づきチャネル上の1つ以上の組織に制限されます。
Unauthorized organizations will have a hash of the private data on the channel ledger as evidence of the transaction data.	権限を持たない組織は、トランザクションデータの証拠としてチャネルの台帳上にプライベートデータのハッシュ値を保存するでしょう。
Also, for further privacy, hashes of the private data go through the Ordering-Service_, not the private data itself, so this keeps private data confidential from Orderer.	また、より高度な秘匿性のために、プライベートデータのハッシュはオーダリングサービス (Ordering-Service_) を経由しますが、プライベートデータそのものは経由しないようにしています。これによりordererからもデータの機密性が守られます。
Private Data Collection	Private Data Collection (プライベートデータコレクション、または単にコレクション)
Used to manage confidential data that two or more organizations on a channel want to keep private from other organizations on that channel.	プライベートデータコレクションは、チャネル上の2つ以上の組織が、それ以外の組織から秘匿したいデータを管理するために使用されます。
The collection definition describes a subset of organizations on a channel entitled to store a set of private data.	コレクション定義は、プライベートデータを保存する権限が与えられたチャネル上の組織のサブセットを記述します。
which by extension implies that only these organizations can transact with the private data.	これは、突き詰めると、これらの組織のみが当該プライベートデータを用いたトランザクションを実行できることを意味します。
Proposal	Proposal (提案)
A request for endorsement that is aimed at specific peers on a channel.	提案はチャネル上の特定のピアに対して送信されるエンドース処理の要求を意味します。
Each proposal is either an Init or an Invoke (read/write) request.	各提案は、InitまたはInvoke (読み込み/書き込み) の要求です。
A query is a chaincode invocation which reads the ledger current state but does not write to the ledger.	Queryは、台帳の現在の状態を読み込むが、台帳には書き込まれないチェーンコード呼出しです。
The chaincode function may query certain keys on the ledger, or may query for a set of keys on the ledger.	このチェーンコード関数は、台帳の特定のキーを問い合せることも、キーのセットを指定して問い合せることもできます。
Since queries do not change ledger state, the client application will typically not submit these read-only transactions for ordering, validation, and commit.	Queryによって台帳の状態が変更されることはないため、クライアントアプリケーションは通常、順序付け、検証およびコミットのために読み込み専用のトランザクションを発行しません。
Although not typical, the client application can choose to submit the read-only transaction for ordering, validation, and commit, for example if the client wants auditable proof on the ledger chain that it had knowledge of specific ledger state at a certain point in time.	一般的ではありませんが、クライアントアプリケーションは、たとえば、クライアントが特定の時点で特定の台帳状態を認識していたことを台帳チェーンに監査可能な証拠として残したい場合に、順序付け、検証およびコミットのために読み込み専用トランザクションを発行するように選択することもできます。
